Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
45,4:34:53.4 PM,0:01:58.696000,27.2,4.21,9.1,247,545,609,-12.2,49.9,87.9,63.2,-56.1,31.8,15.6,9.1,672,0.99,,44.9,55.1
46,4:34:55.6 PM,0:01:58.784000,25.6,4.21,9.8,236,553,618,-11.5,51.8,86.4,63.6,-56.2,30.2,15.2,7.6,704,0.889,,37.9,62.1
47,4:34:57.9 PM,0:01:59.799000,27.4,4.17,9.1,236,515,575,-14.5,47.4,87.9,58.5,-56.1,31.8,17.9,11.5,665,0.977,,44.7,55.3
48,4:35:00.1 PM,0:02:01.586000,26.3,4.11,9.8,284,648,674,-11,54.3,85.8,67.9,-57.6,28.2,11.9,6,679,1.046,,45.9,54.1
49,4:35:02.4 PM,0:02:01.026000,27,4.13,9.1,305,678,706,-16,46.9,86.6,66.8,-56.6,30,11.6,8.2,685,0.96,,43.2,56.8
50,4:35:04.6 PM,0:02:00.011000,27,4.17,9.7,280,622,650,-10.7,53.2,88.1,66.3,-57.6,30.6,13.9,7.9,662,1.08,,48.6,51.4
51,4:35:06.8 PM,0:01:58.327000,28,4.23,9.7,311,667,712,-10.3,51.9,88.7,66.2,-56.3,32.4,11.5,11,676,1.006,,46.9,53.1
52,4:35:09.0 PM,0:01:55.893000,26.5,4.31,10,284,643,665,-17.6,44.4,89.6,64.3,-57.4,32.2,15.4,9.8,701,0.946,,41.8,58.2
53,4:35:11.3 PM,0:01:56.074000,25.6,4.31,9.7,257,601,648,-14.1,49.8,87.4,67.2,-57.7,29.8,12.6,7.6,692,0.99,,42.3,57.7
54,4:35:13.6 PM,0:01:55.813000,28.4,4.32,9.3,304,642,674,-12.5,49.7,88.4,66.2,-56.4,32,13.4,8.8,691,0.946,,44.7,55.3
55,4:35:15.7 PM,0:01:55.489000,26.2,4.33,10.5,274,629,682,-7.7,55.9,88.3,66.4,-57.1,31.2,13.4,8.4,669,0.959,,41.8,58.2
56,4:35:18.0 PM,0:01:54.762000,26.3,4.36,10.1,272,621,685,-12.2,50.7,87,64.9,-56.3,30.7,13.8,8.4,633,0.929,,40.7,59.3
57,4:35:20.3 PM,0:01:55.397000,26,4.33,9.5,266,615,639,-8.9,55.8,86.1,67.8,-56.9,29.2,11.8,6.5,652,0.9,,39,61
58,4:35:22.6 PM,0:01:57.093000,27,4.27,9.1,267,592,638,-12,50.3,84.3,63.6,-54.4,29.9,12.6,8.2,730,0.931,,41.9,58.1
59,4:35:24.8 PM,0:01:58.704000,26,4.21,10.1,212,489,534,-13.9,47.1,86.5,61.3,-54.6,31.9,15.3,10,684,1.021,,44.2,55.8
60,4:35:27.1 PM,0:02:00.370000,26.7,4.15,9,237,533,634,-12.7,49.6,86.8,62.8,-55.8,31,14.8,9.3,638,1.003,,44.6,55.4
61,4:35:29.4 PM,0:02:02.747000,24.4,4.07,9.7,217,534,603,-18.1,44.4,86.1,61.3,-56.2,29.8,14.5,10.2,673,1.007,,40.9,59.1
62,4:35:31.8 PM,0:02:02.395000,29,4.09,8.5,282,583,642,-9.7,53.9,86.9,64.4,-56.6,30.4,14.4,8.1,701,0.81,,39.2,60.8
63,4:35:33.9 PM,0:02:02.994000,25.6,4.07,9.5,280,655,694,-9.7,54.4,88.1,68,-57.6,30.4,11.5,8.5,696,0.93,,39.7,60.3
64,4:35:36.2 PM,0:02:04.094000,25.3,4.03,9.8,241,572,618,-10.6,52.4,86.9,61.5,-56.1,30.8,14.2,11.2,697,0.959,,40.4,59.6
65,4:35:38.6 PM,0:02:01.685000,25.7,4.11,9.9,247,577,643,-7.9,55.7,87,64.8,-56.4,30.6,13.2,8.9,743,0.99,,42.3,57.7
66,4:35:41.0 PM,0:01:59.213000,27.6,4.19,9.6,273,593,641,-17.3,44.7,88.4,64.5,-56.8,31.6,13.9,10,718,0.84,,38.6,61.4
67,4:35:43.1 PM,0:01:57.905000,26.1,4.24,9.2,284,651,672,-11.7,51.2,89.4,66.9,-57.6,31.9,11.2,11.3,667,0.899,,39.2,60.8
68,4:35:45.4 PM,0:02:00.273000,25.6,4.16,8.9,262,613,641,-10.9,53.2,87.6,65.9,-57.5,30.1,12.9,8.7,635,0.899,,38.4,61.6
69,4:35:47.8 PM,0:02:00.349000,26,4.15,10.3,243,561,595,-16.9,45.3,87.9,64.7,-56.7,31.2,11.4,11.7,690,0.93,,40.3,59.7
70,4:35:50.1 PM,0:01:58.793000,26.1,4.21,9.9,253,580,653,-10.7,52.4,89.7,63.6,-57.7,31.9,13.8,12.3,631,0.901,,39.3,60.7
71,4:35:52.4 PM,0:02:00.405000,26.3,4.15,9.2,240,548,614,-12.1,49.1,85.9,62.2,-54.2,31.7,13.8,9.9,763,0.899,,39.4,60.6
72,4:35:54.6 PM,0:01:57.895000,25.6,4.24,10.6,228,533,598,-9.8,53.5,88.1,64,-57,31.1,14,10.1,707,0.975,,41.6,58.4
73,4:35:57.0 PM,0:01:54.292000,27.2,4.37,9.9,265,584,637,-9.9,53.9,86.6,65.5,-56.6,30,13.6,7.5,659,0.871,,39.5,60.5
74,4:35:59.2 PM,0:01:54.666000,25.3,4.36,10.4,220,521,587,-12.3,51.3,86.6,59.9,-56.7,29.9,19.2,7.4,730,1.037,,43.8,56.2
75,4:36:01.6 PM,0:01:53.444000,27.4,4.41,9.5,263,575,639,-11.5,51,86.8,64,-55.8,31,14.2,8.6,755,0.901,,41.1,58.9
76,4:36:03.8 PM,0:01:51.578000,26.3,4.48,10.7,258,589,584,-13.2,49.4,88.5,67.9,-56.9,31.6,12,8.6,594,0.946,,41.5,58.5
77,4:36:06.0 PM,0:01:51.738000,26.8,4.47,9.8,269,602,640,-13.4,49,88.7,62.9,-56.9,31.8,14,11.9,607,0.887,,39.7,60.3
78,4:36:08.3 PM,0:01:52.596000,27,4.44,9.8,252,558,606,-12.9,48.7,89.4,63,-56.4,33,14.3,12.1,679,0.884,,39.8,60.2
79,4:36:10.5 PM,0:01:52.216000,26.1,4.46,9.5,241,552,629,-11.9,50.4,85.9,61.9,-55.1,30.8,14.3,9.7,670,0.971,,42.3,57.7
80,4:36:12.8 PM,0:01:52.797000,28,4.43,9.6,279,597,644,-13.4,49.3,89.7,65.3,-57.7,32,13.6,10.8,652,0.989,,46.1,53.9
81,4:36:14.9 PM,0:01:53.943000,27,4.39,10,260,578,618,-13.2,49.5,88.4,66,-57,31.4,13.8,8.6,641,0.898,,40.5,59.5
82,4:36:17.1 PM,0:01:52.708000,27.2,4.44,10,229,506,603,-7.9,55.6,89.2,58.2,-57.4,31.8,18.2,12.8,634,0.99,,44.9,55.1
