Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
26,5:03:58.1 PM,1:49.0,37.0,4.59,7.4,333,540,719,-15.6,47.3,76.8,54.6,-51.9,24.9,12.4,9.7,569,0.841,,51.9,48.1
27,5:03:59.8 PM,1:48.2,35.1,4.62,7.8,287,491,659,-15.9,46.4,76.6,52.8,-51.5,25.1,13.1,10.7,575,0.887,,51.9,48.1
28,5:04:01.5 PM,1:47.5,36.7,4.65,7.6,315,514,681,-15.9,44.6,75.9,51.7,-49.8,26.1,13.5,10.7,589,0.733,,44.9,55.1
29,5:04:03.1 PM,1:47.3,37.4,4.66,7.1,333,535,727,-18.6,41.5,75.3,53.8,-49.8,25.5,10.9,10.6,428,0.841,,52.4,47.6
30,5:04:04.7 PM,1:47.8,34.5,4.64,8.1,291,506,626,-17.6,44.2,77.2,53.4,-51.7,25.4,13.5,10.3,544,0.886,,50.9,49.1
31,5:04:06.5 PM,1:49.0,37.8,4.59,7.4,325,516,658,-15.8,46.2,76.1,54.2,-51.0,25.1,12.4,9.5,475,0.840,,52.9,47.1
32,5:04:08.0 PM,1:49.1,35.0,4.58,7.7,315,540,711,-18.2,42.4,76.6,54.5,-50.7,25.9,13.2,8.9,504,0.887,,51.8,48.2
33,5:04:09.8 PM,1:47.1,35.7,4.67,8.4,343,575,719,-20.7,41.1,78.6,58.0,-53.0,25.6,11.1,9.6,403,0.930,,55.4,44.6
34,5:04:11.4 PM,1:46.4,35.7,4.70,7.7,298,500,642,-14.1,46.2,76.5,54.0,-49.5,27.0,13.1,9.4,612,0.929,,55.3,44.7
35,5:04:13.1 PM,1:47.1,35.4,4.67,7.4,286,485,644,-13.4,47.9,75.6,52.6,-49.6,26.0,13.6,9.4,510,0.900,,53.1,46.9
36,5:04:14.8 PM,1:48.5,37.0,4.61,6.9,317,514,694,-16.9,44.3,75.5,54.8,-50.3,25.2,12.0,8.6,577,0.854,,52.7,47.3
37,5:04:16.4 PM,1:49.3,35.7,4.58,7.6,302,508,661,-19.0,41.0,76.6,52.1,-50.4,26.2,13.5,11.0,577,0.855,,50.9,49.1
38,5:04:18.1 PM,1:50.8,37.0,4.51,7.1,328,531,692,-16.9,43.4,74.8,54.3,-49.4,25.4,10.9,9.6,529,0.839,,51.8,48.2
39,5:04:19.7 PM,1:51.7,35.7,4.48,7.8,304,511,665,-13.6,47.6,76.8,52.0,-50.2,26.6,13.1,11.6,562,0.887,,52.7,47.3
40,5:04:21.4 PM,1:51.1,38.5,4.50,7.4,336,524,716,-15.7,44.3,74.0,53.5,-48.5,25.5,11.9,8.6,573,0.840,,53.9,46.1
41,5:04:23.0 PM,1:49.7,36.0,4.56,7.4,316,526,705,-16.0,43.7,74.4,52.6,-48.5,25.9,11.7,10.2,624,0.901,,54.0,46.0
42,5:04:24.6 PM,1:49.6,39.3,4.56,7.0,330,504,702,-14.6,46.1,74.6,49.7,-49.0,25.6,14.3,10.6,540,0.674,,44.1,55.9
