Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:17.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:59.0,,,,,,,,,,,,,,,,,,,,
Distance,3004 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
63,5:11:23.9 PM,0:02:03.915000,29.9,4.04,8.3,238,478,549,-20.8,38.7,87.4,59.7,-54.7,32.8,12.2,15.6,636,0.946,,47.1,52.9
64,5:11:25.9 PM,0:02:03.255000,30.3,4.06,8.6,199,394,447,-19.1,40.1,87.7,52.4,-54.2,33.4,13.7,21.6,623,0.932,,47.1,52.9
65,5:11:27.9 PM,0:02:02.770000,30.1,4.07,8.4,190,380,448,-20.9,36.8,86.9,54.9,-52.9,34,13.5,18.4,633,0.945,,47.4,52.6
66,5:11:29.9 PM,0:02:02.453000,29.7,4.08,8.1,203,411,468,-20.2,39.6,89.6,56.1,-55.7,33.9,15,18.5,610,0.943,,46.6,53.4
67,5:11:31.9 PM,0:02:01.733000,29.4,4.11,8.2,194,397,482,-18.9,38.8,86.1,52.7,-52.2,33.8,13.9,19.5,678,0.99,,48.5,51.5
68,5:11:34.0 PM,0:02:02.869000,29.8,4.07,7.8,214,431,499,-19.7,40.1,88,55.1,-55,33,13.9,19,605,0.931,,46.3,53.7
69,5:11:36.0 PM,0:02:04.400000,29.6,4.02,8.1,132,266,322,-14.4,44.5,87.9,42.8,-53.6,34.4,21.7,23.5,621,1.02,,50.4,49.6
70,5:11:38.0 PM,0:02:05.808000,29.4,3.97,8.1,183,373,450,-18.9,39.3,86.3,54,-52.8,33.4,12.6,19.7,626,1.02,,50,50
71,5:11:40.1 PM,0:02:04.918000,29.4,4,8.5,143,292,364,-18,39.8,84.6,44.7,-51.7,32.9,17.7,22.1,658,1.035,,50.7,49.3
72,5:11:42.1 PM,0:02:04.584000,28.7,4.01,8.5,184,384,460,-19.8,39.3,87.9,51.4,-54.4,33.6,13.5,23.1,587,1.009,,48.3,51.7
73,5:11:44.2 PM,0:02:02.953000,29,4.07,8.3,199,412,470,-24.9,33.9,87.8,57,-54.6,33.2,11.6,19.2,626,0.976,,47.2,52.8
74,5:11:46.3 PM,0:02:04.170000,29.4,4.03,7.5,200,408,461,-19.1,40.7,88.3,55.7,-55,33.3,12.1,20.5,604,0.96,,47.1,52.9
75,5:11:48.3 PM,0:02:05.852000,29.6,3.97,7.8,218,442,478,-21.3,37.9,88.8,58,-54.9,33.9,12.1,18.7,606,0.975,,48.2,51.8
76,5:11:50.3 PM,0:02:06.432000,29.4,3.95,8.1,212,432,500,-25.2,33.9,88.6,57.5,-55.2,33.3,11.8,19.3,572,0.975,,47.8,52.2
77,5:11:52.4 PM,0:02:07.290000,29.4,3.93,8.6,174,355,446,-18,44.2,87.8,51.6,-56.7,31,16.2,20,634,0.974,,47.8,52.2
78,5:11:54.4 PM,0:02:05.987000,31,3.97,7.9,199,386,472,-14.4,44.8,85.5,51.7,-52.7,32.8,13,20.8,628,0.914,,47.2,52.8
79,5:11:56.3 PM,0:02:03.226000,31.3,4.06,7.9,144,276,328,-17.3,43.1,91.1,45.1,-56.6,34.5,18.1,27.9,554,0.837,,43.6,56.4
80,5:11:58.3 PM,0:02:02.100000,27.2,4.1,8.7,203,449,496,-25.2,35,91.9,59.1,-57.3,34.6,13.2,19.5,572,1.066,,48.3,51.7
81,5:12:00.5 PM,0:02:03.017000,29.4,4.06,7.9,164,334,409,-20.4,40.5,88.2,52.6,-56.1,32.1,14.2,21.3,654,0.945,,46.3,53.7
