Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.2 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:58.0,,,,,,,,,,,,,,,,,,,,
Distance,2838 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
63,4:55:16.4 PM,0:01:52.119000,28,4.46,9.5,198,425,466,-9.4,53.9,90,64.6,-57.9,32.1,15.1,10.3,639,1.066,,49.7,50.3
64,4:55:18.5 PM,0:01:52.552000,29.4,4.44,8.6,254,517,603,-6.2,57.4,87.5,65.4,-56.4,31.1,16.3,5.8,691,0.929,,45.6,54.4
65,4:55:20.6 PM,0:01:54.104000,27.4,4.38,9.5,234,512,557,-3.1,60.7,89.5,68,-57.4,32.1,14.8,6.7,701,0.961,,43.9,56.1
66,4:55:22.8 PM,0:01:54.897000,28,4.35,9.6,235,504,583,-6.4,56.4,88.3,66.3,-56.2,32.1,13.8,8.1,723,1.034,,48.2,51.8
67,4:55:24.9 PM,0:01:53.631000,27.8,4.4,10.2,204,440,557,-1.4,62.6,87,60.9,-55.8,31.2,18.4,7.7,768,1.064,,49.2,50.8
68,4:55:27.1 PM,0:01:51.103000,27.6,4.5,9.9,238,517,610,-2.2,61.5,87.6,67.3,-56,31.6,15.8,4.5,684,1.05,,48.3,51.7
69,4:55:29.2 PM,0:01:49.880000,26.5,4.55,10.2,224,508,578,-3.2,60.6,90.4,66.2,-57.9,32.4,14.7,9.5,680,1.007,,44.4,55.6
70,4:55:31.5 PM,0:01:50.116000,27.1,4.54,9.5,219,485,590,-8.7,55.2,88.8,67.2,-57.7,31.1,12.4,9.2,669,1.004,,45.3,54.7
71,4:55:33.7 PM,0:01:51.910000,26.3,4.47,10,178,407,465,2.5,67.5,91.3,53.8,-59.1,32.1,28.8,8.7,726,1.005,,44.1,55.9
72,4:55:36.0 PM,0:01:53.754000,26.9,4.4,9.6,227,508,583,-0.3,63.3,89.7,65.8,-57.1,32.6,16.2,7.7,689,0.988,,44.2,55.8
73,4:55:38.2 PM,0:01:54.946000,28,4.35,9.5,247,530,657,-4.9,58.6,86.7,60.4,-55.7,30.9,16.5,9.7,660,1.033,,48.2,51.8
74,4:55:40.4 PM,0:01:54.944000,27.2,4.35,9.5,229,504,660,-4.3,58.2,86.5,58.9,-54.7,31.8,16.6,11,754,1.079,,48.9,51.1
75,4:55:42.6 PM,0:01:56.115000,27.4,4.31,9,218,479,574,-8,54.5,87.9,63,-55.9,32,16.4,8.5,667,0.976,,44.5,55.5
76,4:55:44.8 PM,0:01:57.322000,28.2,4.26,9.1,222,473,562,0.1,63.4,90.2,60.5,-57.1,33.1,22.6,7,663,0.989,,46.5,53.5
77,4:55:46.9 PM,0:01:56.782000,25.7,4.28,10.1,200,467,552,-1.6,62.8,90.5,64,-58.4,32.1,16.5,10,727,1.125,,48.1,51.9
78,4:55:49.3 PM,0:01:57.271000,26.8,4.26,9.6,217,486,555,-4.1,60.8,90.6,64.6,-59.1,31.5,17.2,8.8,702,1.141,,51,49
79,4:55:51.5 PM,0:01:57.377000,27.2,4.26,8.8,230,506,548,-9.6,54.6,91.9,65.2,-59.7,32.1,16.2,10.5,675,1.065,,48.3,51.7
80,4:55:53.7 PM,0:01:57.648000,27.6,4.25,9.2,271,590,657,-5,57.4,88.8,66.1,-55.9,32.8,14.9,7.8,746,1.02,,46.9,53.1
81,4:55:55.9 PM,0:01:57.396000,27.8,4.26,9.5,224,485,565,-4.2,58.4,89.3,63.6,-56.4,32.9,18.4,7.3,654,1.125,,52.1,47.9
82,4:55:58.0 PM,0:01:56.987000,28.5,4.27,9.4,209,440,498,-3.7,57,94.4,61.7,-57.5,36.9,19.8,13,641,0.918,,43.7,56.3
83,4:56:00.1 PM,0:01:55.186000,27.2,4.34,9.2,236,520,584,-7.1,56.5,92.7,67.4,-59.4,33.3,15.1,10.2,658,0.96,,43.6,56.4
84,4:56:02.3 PM,0:01:54.864000,26.7,4.35,9.7,229,516,580,-11.7,52.2,89.6,64.5,-58.5,31.1,15.3,9.8,684,1.096,,48.7,51.3
85,4:56:04.6 PM,0:01:56.306000,28,4.3,8.9,233,499,537,-6.2,56.3,94.5,69.9,-59.4,35.1,14.3,10.2,671,0.931,,43.4,56.6
86,4:56:06.7 PM,0:01:57.252000,27.1,4.26,10,217,480,515,-2,59.2,91.4,64.1,-56.1,35.3,16.4,10.9,711,1.064,,48,52
87,4:56:08.9 PM,0:01:58.047000,27.6,4.24,9.2,193,421,487,2.2,66.1,89.3,59.5,-56.8,32.4,18.1,11.7,617,0.901,,41.4,58.6
88,4:56:11.1 PM,0:01:57.350000,26.5,4.26,9.7,211,479,589,-1.4,62.4,88.7,58.7,-56.7,32,20.8,9.2,678,1.006,,44.4,55.6
89,4:56:13.4 PM,0:01:56.711000,28.6,4.28,9,244,512,563,1.6,63.3,94.2,64.1,-58.1,36.1,19.6,10.5,652,0.972,,46.3,53.7
90,4:56:15.5 PM,0:01:57.380000,28.8,4.26,9.1,197,412,502,-0.1,59.8,91.5,54.6,-54.7,36.8,24.1,12.8,689,0.824,,39.5,60.5
91,4:56:17.6 PM,0:01:56.826000,27,4.28,10,200,445,526,-1.3,60.4,91.5,59.4,-56.6,34.9,21.3,10.8,684,0.885,,39.8,60.2
92,4:56:19.8 PM,0:01:56.557000,26,4.29,9.9,165,381,501,0.8,64.7,86.6,53.9,-55.3,31.3,20.9,11.9,720,1.021,,44.2,55.8
